reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
aaf69c9e-8b40-4467-8abd-cb008ccbe1ba,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"udah update, postingan mutual saya masih sering ngebug (alias yang tweet baru mereka gaada muncul). Malah tweet lama mereka doang yang keliatan. Aplikasi aneh. Kadang baca thread dari bikinan orang juga gak muncul semuanya berurutan. Malahan ada yang gak keliatan. Udah coba utak atik, tetep gak ngaruh. Emang dasarnya aplikasi makin jelek aja.",1,821,11.0.0-release.0,2025-05-26 18:55:34,,,11.0.0-release.0
2a462232-d4b4-4c78-88d1-1c479bcf60de,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"tolong Kepada Pihak Aplikasi X, Saya mohon perbaiki Bug saya ingin login ke akun saya tidak bisa, dan selalu saja ada tulisan yaitu ""ada kesalahan teknis ulangi lagi permintaan anda nanti"". Saya mohon perbaiki Bug ini Dan Ada Bug Saya paling saya jengkel Yaitu Postingan nya Loading terus menerus atau lemot padahal jaringannya/internetnya bagus. Saya mohon Perbaiki Secepatnya",1,129,11.0.0-release.0,2025-05-23 15:11:16,,,11.0.0-release.0
adefde72-bbfa-4826-8c20-f5684159bb07,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"pas buka dm di refresh gak bisa, liat postingan di refresh juga gak bisa, padahal sinyal lancar, terus habis apk nya di update juga tetep ga bisa. Akhirnya nyoba ku unistall habis itu aku install lagi eh malah ga bisa login ada kesalahan teknis katanya, udah nyoba nanya lewat email juga ga dapat jawaban yang jelas. Tolong lah ini banyak banget yang udah ngasih kritik masa tetep ga mau dibenerin? masalahnya ada dm penting yang harus aku bales urgent banget. Padahal dulu gak kaya gini",1,68,11.0.0-release.0,2025-05-23 12:33:47,,,11.0.0-release.0
c3453f6d-70e9-4d26-bf3b-1db3e064f77c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"apa² nih, kok makin lemot gini sih, wifi ada kuota juga ada tapi kok ttp lemot bahkan kadang gambar yang mau kita lihat gk bisa kebuka sama sekali,,, udh coba keluar trus masuk lagi tapi ttp kek gitu,,, tolong dong developer di perbaiki",1,63,11.0.0-release.0,2025-05-24 20:25:19,,,11.0.0-release.0
e4af7ac3-88d0-4192-a503-ca44a8575853,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"X nih kenapa akhir² ini sering error? udah 1 minggu error terus. sering muncul notifikasi tapi pas di lihat kosong. ga bisa lihat postingan orang secara menyeluruh, dan DM pun pas ada notifikasi pas di klik ga keluar pesan nya.",1,54,11.0.0-release.0,2025-05-26 20:55:05,,,11.0.0-release.0
5760dd06-8c9c-4a6b-ba53-01b2c5cb48c1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Saya kecewa sekali dengan aplikasi X, pas saya mau masuk ke akun saya, prosesnya itu lama sekali, harus verif email dulu lah, terjadi kesalahan teknis, lah, dan lain sebagainya. Dan pas akun saya sudah bisa di akses malah terjadi kesalahan teknis lagi, loading-nya juga lama.",1,2160,10.97.0-release.0,2025-05-17 15:00:36,,,10.97.0-release.0
8a1bf139-1616-4efd-942c-cfea04ee4c5f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Jaringan bagus ga ada kendala malah ga bisa memuat postingan, ga bisa ngapa²in. udah update tetep ga bisa, penyimpanan juga ga full. keluar acount, pas mau login ulang memuat lama banget. sayang banget buat apk rame kya gini, kinerja apk nya jelek",1,1209,10.97.0-release.0,2025-05-20 18:21:46,,,10.97.0-release.0
0955e7f7-a6b9-4240-8d41-7c5b25d33c44,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"awalnya tidak terjadi masalah, namun sekarang malah tidak dapat memuat halaman dan tertulis ""masalah teknis"" like seriously?? aku kira awalnya ngelag, tapi pas saya coba ke apk lain bisa berjalan, kenapa di X tidak bisa? perbaiki ni apk",1,395,10.97.0-release.0,2025-05-20 18:50:53,,,10.97.0-release.0
822fa966-3b07-43c7-853a-12f081ba464a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Semenjak aplikasi ""Twitter"" menjadi ""X"", aplikasi ini semakin lama semakin ga jelas, sering tiba tiba log out, tiba tiba dm delay, tiba tiba ga bisa telfon, tiba tiba ga bisa kirim postingan, dan yang terparah akun saya pernah tiba tiba ditangguhkan tanpa sebab, mohon segera dibenahi, ini benar benar membuat tidak nyaman.",3,22,11.2.0-release.0,2025-06-05 02:39:20,,,11.2.0-release.0
53cb5dac-8970-478d-80e1-73c9b7752c6b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"kenapa akhir-akhir ini aplikasi x semakin menurun kualitasnya? saya daritadi coba buka aplikasi x malah terjadi kesalahan teknis terus, padahal jaringan saya super baik dan lancar. belum lagi ketika saya coba untuk mendownload ulang aplikasi ini, tetap sama saja. mohon di perbaiki secepatnya.",1,47,11.0.0-release.0,2025-05-24 20:27:08,,,11.0.0-release.0
